N_tume,I_meses,Esp,Parc_m2,N_arv,DAP_cm,H_m,Cod
2,111,E_citriodora,432,1,19.09859317,20,
2,111,E_citriodora,432,2,,,1
2,111,E_citriodora,432,3,,,1
2,111,E_citriodora,432,4,20.53098766,17.4,
2,111,E_citriodora,432,5,,,1
2,111,E_citriodora,432,6,14.48309982,15,
2,111,E_citriodora,432,7,,,1
2,111,E_citriodora,432,8,15.59718442,17,
2,111,E_citriodora,432,9,,,1
2,111,E_citriodora,432,10,,,1
2,111,E_citriodora,432,11,,,1
2,111,E_citriodora,432,12,,,1
2,111,E_citriodora,432,13,,,1
2,111,E_citriodora,432,14,,,1
2,111,E_citriodora,432,15,,,1
2,111,E_citriodora,432,16,,,1
2,111,E_citriodora,432,17,,,1
2,111,E_citriodora,432,18,,,1
2,111,E_citriodora,432,19,,,1
2,111,E_citriodora,432,20,19.576058,21.8,
2,111,E_citriodora,432,21,16.2338042,15,2
2,111,E_citriodora,432,22,,,1
2,111,E_citriodora,432,23,,,1
2,111,E_citriodora,432,24,,,1
2,111,E_citriodora,432,25,17.18873385,18,
2,111,E_citriodora,432,26,,,1
2,111,E_citriodora,432,27,20.37183272,18,
2,111,E_citriodora,432,28,,,1
2,111,E_citriodora,432,29,17.18873385,,
2,111,E_citriodora,432,30,,,1
2,111,E_citriodora,432,31,,,1
2,111,E_citriodora,432,32,17.82535363,,
2,111,E_citriodora,432,33,,,1
2,111,E_citriodora,432,34,,,1
2,111,E_citriodora,432,35,13.36901522,,
2,111,E_citriodora,432,36,14.96056465,,8
2,111,E_citriodora,432,37,,,1
2,111,E_citriodora,432,38,22.91831181,22.3,
2,111,E_citriodora,432,39,,,1
2,111,E_citriodora,432,40,,,1
2,111,E_citriodora,432,41,17.18873385,,
2,111,E_citriodora,432,42,14.32394488,,
2,111,E_citriodora,432,43,,,1
2,111,E_citriodora,432,44,,,1
2,111,E_citriodora,432,45,11.77746579,,2
2,111,E_citriodora,432,46,,,1
2,111,E_citriodora,432,47,16.87042397,,
2,111,E_citriodora,432,48,,,1
2,111,E_citriodora,432,49,,,1
2,111,E_citriodora,432,50,14.96056465,,
2,111,E_citriodora,432,51,13.36901522,,
2,111,E_citriodora,432,52,17.82535363,,
2,111,E_citriodora,432,53,,,1
2,111,E_citriodora,432,54,,,1
2,111,E_citriodora,432,55,,,1
2,111,E_citriodora,432,56,,,1
2,111,E_citriodora,432,57,10.50422624,,
2,111,E_citriodora,432,58,,,1
