N_tume,I_meses,Esp,Parc_m2,N_arv,DAP_cm,H_m,Cod
2,7,E_citriodora,432,1,,1.8,
2,7,E_citriodora,432,2,,2.15,
2,7,E_citriodora,432,3,,2,
2,7,E_citriodora,432,4,,1.55,
2,7,E_citriodora,432,5,,1.55,
2,7,E_citriodora,432,6,,2.45,
2,7,E_citriodora,432,7,,1.45,
2,7,E_citriodora,432,8,,1.8,
2,7,E_citriodora,432,9,,1.85,
2,7,E_citriodora,432,10,,1.6,
2,7,E_citriodora,432,11,,1.55,
2,7,E_citriodora,432,12,,1.4,
2,7,E_citriodora,432,13,,1.9,
2,7,E_citriodora,432,14,,1.35,
2,7,E_citriodora,432,15,,1.8,
2,7,E_citriodora,432,16,,1.55,
2,7,E_citriodora,432,17,,1.7,
2,7,E_citriodora,432,18,,1.5,
2,7,E_citriodora,432,19,,1.8,
2,7,E_citriodora,432,20,,1.8,
2,7,E_citriodora,432,21,,1.7,
2,7,E_citriodora,432,22,,1.45,
2,7,E_citriodora,432,23,,1.55,
2,7,E_citriodora,432,24,,1.45,
2,7,E_citriodora,432,25,,1,
2,7,E_citriodora,432,26,,1.35,
2,7,E_citriodora,432,27,,1.55,
2,7,E_citriodora,432,28,,1.75,
2,7,E_citriodora,432,29,,0.9,
2,7,E_citriodora,432,30,,1.6,
2,7,E_citriodora,432,31,,1.6,
2,7,E_citriodora,432,32,,1.4,
2,7,E_citriodora,432,33,,1.55,
2,7,E_citriodora,432,34,,1.7,
2,7,E_citriodora,432,35,,1.75,
2,7,E_citriodora,432,36,,1.5,
2,7,E_citriodora,432,37,,1.55,
2,7,E_citriodora,432,38,,1.55,
2,7,E_citriodora,432,39,,1.35,
2,7,E_citriodora,432,40,,1.5,
2,7,E_citriodora,432,41,,1.65,
2,7,E_citriodora,432,42,,1.7,
2,7,E_citriodora,432,43,,1.35,
2,7,E_citriodora,432,44,,1.8,
2,7,E_citriodora,432,45,,1.6,
2,7,E_citriodora,432,46,,1.75,
2,7,E_citriodora,432,47,,1.5,
2,7,E_citriodora,432,48,,1.4,
2,7,E_citriodora,432,49,,1.8,
2,7,E_citriodora,432,50,,1.45,
2,7,E_citriodora,432,51,,1.55,
2,7,E_citriodora,432,52,,1.3,
2,7,E_citriodora,432,53,,1.15,
2,7,E_citriodora,432,54,,1.6,
2,7,E_citriodora,432,55,,1.55,
2,7,E_citriodora,432,56,,1.25,
2,7,E_citriodora,432,57,,1.3,
2,7,E_citriodora,432,58,,1.55,
2,7,E_citriodora,432,59,,1.25,
2,7,E_citriodora,432,60,,1.75,
2,7,E_citriodora,432,61,,1.5,
2,7,E_citriodora,432,62,,1,
2,7,E_citriodora,432,63,,,3
2,7,E_citriodora,432,64,,1.95,
2,7,E_citriodora,432,65,,1.6,
2,7,E_citriodora,432,66,,1.6,
2,7,E_citriodora,432,67,,1.25,
2,7,E_citriodora,432,68,,1.3,
2,7,E_citriodora,432,69,,1.4,
2,7,E_citriodora,432,70,,1.45,
2,7,E_citriodora,432,71,,1.55,
2,7,E_citriodora,432,72,,1.5,
2,7,E_grandis,432,1,,1,
2,7,E_grandis,432,2,,1.7,
2,7,E_grandis,432,3,,1.55,
2,7,E_grandis,432,4,,1.25,
2,7,E_grandis,432,5,,1.65,
2,7,E_grandis,432,6,,1.15,
2,7,E_grandis,432,7,,1.4,
2,7,E_grandis,432,8,,1.25,
2,7,E_grandis,432,9,,1.1,
2,7,E_grandis,432,10,,1.4,
2,7,E_grandis,432,11,,1.35,
2,7,E_grandis,432,12,,1.25,
2,7,E_grandis,432,13,,1.5,
2,7,E_grandis,432,14,,1.1,
2,7,E_grandis,432,15,,1.2,
2,7,E_grandis,432,16,,,3
2,7,E_grandis,432,17,,1.15,
2,7,E_grandis,432,18,,1.3,
2,7,E_grandis,432,19,,1.6,
2,7,E_grandis,432,20,,0.9,
2,7,E_grandis,432,21,,1.4,
2,7,E_grandis,432,22,,1.45,
2,7,E_grandis,432,23,,1.25,
2,7,E_grandis,432,24,,1.3,
2,7,E_grandis,432,25,,1,
2,7,E_grandis,432,26,,1.25,
2,7,E_grandis,432,27,,1.25,
2,7,E_grandis,432,28,,1.3,
2,7,E_grandis,432,29,,1.3,
2,7,E_grandis,432,30,,1.35,
2,7,E_grandis,432,31,,1.1,
2,7,E_grandis,432,32,,1.25,
2,7,E_grandis,432,33,,1.1,
2,7,E_grandis,432,34,,1,
2,7,E_grandis,432,35,,1,
2,7,E_grandis,432,36,,1.45,
2,7,E_grandis,432,37,,1.35,
2,7,E_grandis,432,38,,1.25,
2,7,E_grandis,432,39,,1.1,
2,7,E_grandis,432,40,,1.75,
2,7,E_grandis,432,41,,1.1,
2,7,E_grandis,432,42,,1.25,
2,7,E_grandis,432,43,,1.4,
2,7,E_grandis,432,44,,1.25,
2,7,E_grandis,432,45,,1.3,
2,7,E_grandis,432,46,,1.5,
2,7,E_grandis,432,47,,1.75,
2,7,E_grandis,432,48,,1.2,
2,7,E_grandis,432,49,,1.55,
2,7,E_grandis,432,50,,1.7,
2,7,E_grandis,432,51,,1.1,
2,7,E_grandis,432,52,,1,
2,7,E_grandis,432,53,,1.2,
2,7,E_grandis,432,54,,0.8,
2,7,E_grandis,432,55,,1.25,
2,7,E_grandis,432,56,,1.2,
2,7,E_grandis,432,57,,1.15,
2,7,E_grandis,432,58,,1.25,
2,7,E_grandis,432,59,,1.55,
2,7,E_grandis,432,60,,1.75,
2,7,E_grandis,432,61,,1.55,
2,7,E_grandis,432,62,,1.5,
2,7,E_grandis,432,63,,1.4,
2,7,E_grandis,432,64,,1.35,
2,7,E_grandis,432,65,,1.3,
2,7,E_grandis,432,66,,1.4,
2,7,E_grandis,432,67,,1.25,
2,7,E_grandis,432,68,,1.35,
2,7,E_grandis,432,69,,1.5,
2,7,E_grandis,432,70,,1.2,
2,7,E_grandis,432,71,,1.1,
2,7,E_grandis,432,72,,1.25,
2,7,E_paniculata,432,1,,1.9,
2,7,E_paniculata,432,2,,0.9,
2,7,E_paniculata,432,3,,1.55,
2,7,E_paniculata,432,4,,1,
2,7,E_paniculata,432,5,,1.45,
2,7,E_paniculata,432,6,,1.35,
2,7,E_paniculata,432,7,,1.15,
2,7,E_paniculata,432,8,,1.1,
2,7,E_paniculata,432,9,,1.2,
2,7,E_paniculata,432,10,,1.1,
2,7,E_paniculata,432,11,,1.45,
2,7,E_paniculata,432,12,,1.4,
2,7,E_paniculata,432,13,,1.45,
2,7,E_paniculata,432,14,,1.35,
