N_tume,I_meses,Esp,Parc_m2,N_arv,DAP_cm,H_m,Cod
2,44,E_grandis,432,50,12.5,12.4,
2,44,E_grandis,432,51,8.6,12,
2,44,E_grandis,432,52,11,11.5,
2,44,E_grandis,432,53,11.5,12.1,
2,44,E_grandis,432,54,5.3,6,
2,44,E_grandis,432,55,11.3,13,
2,44,E_grandis,432,56,10.8,14,
2,44,E_grandis,432,57,11,13,
2,44,E_grandis,432,58,10,12,
2,44,E_grandis,432,59,13.1,13,
2,44,E_grandis,432,60,13.4,14,
2,44,E_grandis,432,61,12.5,14,
2,44,E_grandis,432,62,12.5,14,
2,44,E_grandis,432,63,6.8,10,
2,44,E_grandis,432,64,9.8,12.5,
2,44,E_grandis,432,65,11.5,14,
2,44,E_grandis,432,66,10.8,13,
2,44,E_grandis,432,67,8.8,12.2,
2,44,E_grandis,432,68,10.5,12.5,
2,44,E_grandis,432,69,10.9,13,
2,44,E_grandis,432,70,12.7,13.5,
2,44,E_grandis,432,71,9.3,11.5,
2,44,E_grandis,432,72,10.7,12,
2,44,E_paniculata,432,1,5.1,9.7,
2,44,E_paniculata,432,2,10.2,9.7,
2,44,E_paniculata,432,3,8.2,9.6,
2,44,E_paniculata,432,4,7.6,9.5,
2,44,E_paniculata,432,5,10.5,10.5,
2,44,E_paniculata,432,6,,,5
2,44,E_paniculata,432,7,9.3,10.6,
2,44,E_paniculata,432,8,7.7,10.9,
2,44,E_paniculata,432,9,11,11,
2,44,E_paniculata,432,10,10.1,10.7,
2,44,E_paniculata,432,11,8,10.4,
2,44,E_paniculata,432,12,10.3,10.5,
2,44,E_paniculata,432,13,9.3,10.4,
2,44,E_paniculata,432,14,9.5,10.4,
2,44,E_paniculata,432,15,9.9,10.8,
2,44,E_paniculata,432,16,9,10.5,
2,44,E_paniculata,432,17,10.8,10.5,
2,44,E_paniculata,432,18,9,10.6,
2,44,E_paniculata,432,19,10.3,9.8,
2,44,E_paniculata,432,20,7.9,10.5,
2,44,E_paniculata,432,21,7.7,9.8,
2,44,E_paniculata,432,22, ,,1
2,44,E_paniculata,432,23,10,10.7,
2,44,E_paniculata,432,24,9.9,10.6,
2,44,E_paniculata,432,25,10.3,10.5,
2,44,E_paniculata,432,26,10,10.9,
2,44,E_paniculata,432,27,11.4,10.7,
2,44,E_paniculata,432,28,14,11.1,
2,44,E_paniculata,432,29,10.6,11,
2,44,E_paniculata,432,30,7.2,10.5,
2,44,E_paniculata,432,31,8.3,10.3,
2,44,E_paniculata,432,32,9,10.4,
2,44,E_paniculata,432,33,10.2,10.5,
2,44,E_paniculata,432,34,8.5,10.5,
2,44,E_paniculata,432,35,9.7,10.3,
2,44,E_paniculata,432,36,2.5,3.4,
2,44,E_paniculata,432,37,6.4,3.9,
2,44,E_paniculata,432,38,11.5,10.7,
2,44,E_paniculata,432,39,10.3,10.5,
2,44,E_paniculata,432,40,9.8,10.7,
2,44,E_paniculata,432,41,8.2,10.4,
2,44,E_paniculata,432,42,8.3,10.5,
2,44,E_paniculata,432,43,9.2,10.3,
2,44,E_paniculata,432,44,6.9,10.4,
2,44,E_paniculata,432,45,9.1,10.9,
2,44,E_paniculata,432,46,12.2,10.9,
2,44,E_paniculata,432,47,9.6,10.9,
2,44,E_paniculata,432,48,8.2,9.7,
2,44,E_paniculata,432,49,,,5
2,44,E_paniculata,432,50,8.4,10.8,
2,44,E_paniculata,432,51,9,9.8,
2,44,E_paniculata,432,52,8.4,9.6,
2,44,E_paniculata,432,53,13.5,11.2,
2,44,E_paniculata,432,54,6.7,6.2,
2,44,E_paniculata,432,55,2,2,13
2,44,E_paniculata,432,56,6.9,9.8,
2,44,E_paniculata,432,57,11.7,10.6,
2,44,E_paniculata,432,58,9,9.8,
2,44,E_paniculata,432,59,9.3,10.4,
2,44,E_paniculata,432,60,9.8,10.4,
2,44,E_paniculata,432,61,2.5,3,
2,44,E_paniculata,432,62,10.5,10.8,
2,44,E_paniculata,432,63,7.6,10.5,
2,44,E_paniculata,432,64,8.6,9.8,
2,44,E_paniculata,432,65,9.8,9.8,
2,44,E_paniculata,432,66,6.5,10,
2,44,E_paniculata,432,67,9.4,10.5,
2,44,E_paniculata,432,68,7.6,10.4,
2,44,E_paniculata,432,69,3.2,3,
2,44,E_paniculata,432,70,10,10.9,
2,44,E_paniculata,432,71,9,10.4,
2,44,E_paniculata,432,72,10.1,10.4,
2,44,E_pellita,432,1,11.3,11.6,
2,44,E_pellita,432,2,10.5,11,
2,44,E_pellita,432,3,8,11,
2,44,E_pellita,432,4,11.2,12,
2,44,E_pellita,432,5,9.8,11,
2,44,E_pellita,432,6,11.5,11.6,
2,44,E_pellita,432,7,11.3,11,
2,44,E_pellita,432,8,12,12.6,
2,44,E_pellita,432,9,11.9,12,
2,44,E_pellita,432,10,12.5,10.6,
2,44,E_pellita,432,11,7.8,10.2,
2,44,E_pellita,432,12,,,5
2,44,E_pellita,432,13,9.2,11,
2,44,E_pellita,432,14,13,12,
2,44,E_pellita,432,15,11.4,13.6,
2,44,E_pellita,432,16,12.4,12.6,
2,44,E_pellita,432,17,7.9,9,8
2,44,E_pellita,432,18,11.2,11.6,
2,44,E_pellita,432,19,8.1,10.8,
2,44,E_pellita,432,20,,,1
2,44,E_pellita,432,21,12.5,14.6,
2,44,E_pellita,432,22,12.3,13.6,
2,44,E_pellita,432,23,7.9,10.4,
2,44,E_pellita,432,24,6.8,10.2,
2,44,E_pellita,432,25,10.9,10.7,
2,44,E_pellita,432,26,4.3,4.2,
2,44,E_pellita,432,27,13.6,11,
2,44,E_pellita,432,28,15.9,14.6,
2,44,E_pellita,432,29,6,6.6,
2,44,E_pellita,432,30,11.2,12,
2,44,E_pellita,432,31,11,11,
2,44,E_pellita,432,32,10.5,11,
2,44,E_pellita,432,33,10.2,11,
2,44,E_pellita,432,34,11.9,11.2,
2,44,E_pellita,432,35,8.8,11.6,
2,44,E_pellita,432,36,11.3,11.8,
2,44,E_pellita,432,37,10.4,12,
2,44,E_pellita,432,38,12.6,12.6,
2,44,E_pellita,432,39,9.5,11,
2,44,E_pellita,432,40,8.9,10.8,
2,44,E_pellita,432,41,,,1
2,44,E_pellita,432,42,11.2,11.2,
2,44,E_pellita,432,43,13.2,12.6,
2,44,E_pellita,432,44,7.9,10.4,
2,44,E_pellita,432,45,4,5.6,
2,44,E_pellita,432,46,10.9,10.9,
2,44,E_pellita,432,47,12.5,12,
2,44,E_pellita,432,48,10.3,12,
2,44,E_pellita,432,49,12.1,11,
2,44,E_pellita,432,50,9.6,11,
2,44,E_pellita,432,51,9.8,11,
2,44,E_pellita,432,52,11.6,10.8,
2,44,E_pellita,432,53,12.8,11.2,
2,44,E_pellita,432,54,8.2,10.8,
2,44,E_pellita,432,55,14.3,16.6,
2,44,E_pellita,432,56,10.6,12.6,
2,44,E_pellita,432,57,12.5,13.6,
2,44,E_pellita,432,58,,,5
2,44,E_pellita,432,59,13.3,14.6,
2,44,E_pellita,432,60,12.3,13.6,
2,44,E_pellita,432,61,12.4,12.6,
2,44,E_pellita,432,62,11.4,11.6,
2,44,E_pellita,432,63,9.6,11,
2,44,E_pellita,432,64,11.8,12.6,
2,44,E_pellita,432,65,9.7,12,
2,44,E_pellita,432,66,11.5,12,
2,44,E_pellita,432,67,5.8,9.6,
2,44,E_pellita,432,68,11,12,
2,44,E_pellita,432,69,10.9,12.6,
2,44,E_pellita,432,70,12.8,13,
2,44,E_pellita,432,71,,,1
2,44,E_pellita,432,72,15.8,13.6,
2,44,E_propinqua,432,1,11,10.8,
2,44,E_propinqua,432,2,6.2,8.6,
2,44,E_propinqua,432,3,9.7,9.8,
2,44,E_propinqua,432,4,,,1
2,44,E_propinqua,432,5,11.4,10.5,
2,44,E_propinqua,432,6,10.9,11,
2,44,E_propinqua,432,7,5,7.5,
2,44,E_propinqua,432,8,12.8,11.3,
2,44,E_propinqua,432,9,,,5
2,44,E_propinqua,432,10,16.2,12,
2,44,E_propinqua,432,11,11.3,10.7,
2,44,E_propinqua,432,12,8.4,10,
2,44,E_propinqua,432,13,8.1,7,
2,44,E_propinqua,432,14,9,10.6,
2,44,E_propinqua,432,15,9.5,10.6,
2,44,E_propinqua,432,16,11.6,10.8,
2,44,E_propinqua,432,17,,,1
2,44,E_propinqua,432,18,,,1
2,44,E_propinqua,432,19,9.2,10.6,
2,44,E_propinqua,432,20,10.8,10.8,
2,44,E_propinqua,432,21,8.4,10.7,
2,44,E_propinqua,432,22,8.9,10.8,
2,44,E_propinqua,432,23,9.8,10.9,
2,44,E_propinqua,432,24,10.8,11,
2,44,E_propinqua,432,25,,,5
2,44,E_propinqua,432,26,8.1,10.4,
2,44,E_propinqua,432,27,11.4,11.1,
2,44,E_propinqua,432,28,15,11.2,
2,44,E_propinqua,432,29,8.4,10.7,
2,44,E_propinqua,432,30,7.8,10.8,
2,44,E_propinqua,432,31,11,10.8,
2,44,E_propinqua,432,32,11.6,11.1,
2,44,E_propinqua,432,33,8.3,10.6,
2,44,E_propinqua,432,34,,,1
2,44,E_propinqua,432,35,11.1,11.2,
2,44,E_propinqua,432,36,8.3,10.6,
2,44,E_propinqua,432,37,3.5,3.8,
2,44,E_propinqua,432,38,12.5,11.2,
2,44,E_propinqua,432,39,10.7,10.9,
2,44,E_propinqua,432,40,1.8,2.8,
2,44,E_propinqua,432,41,9.5,10.9,
2,44,E_propinqua,432,42,9.8,10.8,
2,44,E_propinqua,432,43,7.7,10.7,
2,44,E_propinqua,432,44,,,1
2,44,E_propinqua,432,45,11.4,10.9,
2,44,E_propinqua,432,46,,,1
2,44,E_propinqua,432,47,11.7,11.2,
2,44,E_propinqua,432,48,7,9.9,
2,44,E_propinqua,432,49,1.9,2.8,
2,44,E_propinqua,432,50,3.3,3.1,
2,44,E_propinqua,432,51,9.3,10.8,
2,44,E_propinqua,432,52,,,1
2,44,E_propinqua,432,53,6.7,8.9,
2,44,E_propinqua,432,54,10.2,11,
2,44,E_propinqua,432,55,11.8,11.2,
2,44,E_propinqua,432,56,10.7,11.2,
2,44,E_propinqua,432,57,,,1
2,44,E_propinqua,432,58,14.2,11.1,
2,44,E_propinqua,432,59,14.9,11.3,
2,44,E_propinqua,432,60,7.5,10.6,
2,44,E_propinqua,432,61,12.4,11.3,
2,44,E_propinqua,432,62,9.8,11.2,
2,44,E_propinqua,432,63,10.7,10.8,
2,44,E_propinqua,432,64,13.7,12,
2,44,E_propinqua,432,65,,,5
2,44,E_propinqua,432,66,12.9,11.1,
2,44,E_propinqua,432,67,11.5,10.6,8
2,44,E_propinqua,432,68,8.8,10.4,
2,44,E_propinqua,432,69,6.5,10.6,
2,44,E_propinqua,432,70,7.9,7.7,
2,44,E_propinqua,432,71,4.2,11.3,
2,44,E_propinqua,432,72,12.3,10,
2,44,E_saligna,432,1,11,10.8,8
2,44,E_saligna,432,2,11.5,11.8,
2,44,E_saligna,432,3,14,11.6,
2,44,E_saligna,432,4,14.7,11.6,
2,44,E_saligna,432,5,7,106,
2,44,E_saligna,432,6,14.4,11.7,
2,44,E_saligna,432,7,10.2,11.6,
2,44,E_saligna,432,8,11.3,11.6,
2,44,E_saligna,432,9,14.2,11.6,
2,44,E_saligna,432,10,4.5,9.4,
2,44,E_saligna,432,11,10.8,11.2,
2,44,E_saligna,432,12,12.6,11.3,
2,44,E_saligna,432,13,14,11.5,
2,44,E_saligna,432,14,9.2,11.4,
2,44,E_saligna,432,15,13.8,11.6,
2,44,E_saligna,432,16,9.6,11.2,
2,44,E_saligna,432,17,,,5
2,44,E_saligna,432,18,13.2,11.7,
2,44,E_saligna,432,19,13.3,11.8,
2,44,E_saligna,432,20,8.8,10.7,8
2,44,E_saligna,432,21,11,10.9,
2,44,E_saligna,432,22,10.6,11,
2,44,E_saligna,432,23,11.3,11.3,
2,44,E_saligna,432,24,9.5,11.1,2
2,44,E_saligna,432,25,6.2,10.5,
2,44,E_saligna,432,26,12.6,11.6,
2,44,E_saligna,432,27,9.7,11,8
2,44,E_saligna,432,28,14.5,11.6,
2,44,E_saligna,432,29,,,5
2,44,E_saligna,432,30,,,5
2,44,E_saligna,432,31,13.6,11,
2,44,E_saligna,432,32,,,5
2,44,E_saligna,432,33,11.9,11.1,
2,44,E_saligna,432,34,15.4,11.2,
2,44,E_saligna,432,35,12.5,11.3,
2,44,E_saligna,432,36,9.3,11,
2,44,E_saligna,432,37,7.9,10.8,
2,44,E_saligna,432,38,14.7,11,
2,44,E_saligna,432,39,13.9,11.7,
2,44,E_saligna,432,40,8.5,10.7,
2,44,E_saligna,432,41,10.4,10.9,8
2,44,E_saligna,432,42,9.5,10.9,
2,44,E_saligna,432,43,,,1
2,44,E_saligna,432,44,,,5
2,44,E_saligna,432,45,,,5
2,44,E_saligna,432,46,14.7,11.8,
2,44,E_saligna,432,47,14.8,11.9,
2,44,E_saligna,432,48,8.8,11.3,
2,44,E_saligna,432,49,11,11.5,
2,44,E_saligna,432,50,11.8,11.1,
2,44,E_saligna,432,51,10.7,11,
2,44,E_saligna,432,52,8.6,10.8,
2,44,E_saligna,432,53,7.5,10.9,
2,44,E_saligna,432,54,13.4,11,
2,44,E_saligna,432,55,,,1
2,44,E_saligna,432,56,14.1,11.4,
2,44,E_saligna,432,57,10,11.4,
2,44,E_saligna,432,58,13.3,11.6,
2,44,E_saligna,432,59,9.4,11.2,
2,44,E_saligna,432,60,9,10.8,
2,44,E_saligna,432,61,11,11.5,
2,44,E_saligna,432,62,12.7,11.6,
2,44,E_saligna,432,63,,,5
2,44,E_saligna,432,64,13.1,11,
2,44,E_saligna,432,65,11.6,11.3,
2,44,E_saligna,432,66,7.1,6.5,
2,44,E_saligna,432,67,,,5
2,44,E_saligna,432,68,12.6,11.4,
2,44,E_saligna,432,69,11.9,11.1,
2,44,E_saligna,432,70,6.7,10.5,
2,44,E_saligna,432,71,11.4,11.3,
2,44,E_saligna,432,72,10.6,10.9,
2,44,E_tereticornis,432,1,, ,1
2,44,E_tereticornis,432,2,13.2,13,2
2,44,E_tereticornis,432,3,11.2,12.6,
2,44,E_tereticornis,432,4,7.2,11,
2,44,E_tereticornis,432,5,10.9,11.6,2
2,44,E_tereticornis,432,6,10.9,11.6,
2,44,E_tereticornis,432,7,9.9,13.6,
2,44,E_tereticornis,432,8,10.2,10.8,
2,44,E_tereticornis,432,9,8.2,11.6,
2,44,E_tereticornis,432,10,9,11.2,
2,44,E_tereticornis,432,11,10.2,12.6,
2,44,E_tereticornis,432,12,11.2,10.8,
2,44,E_tereticornis,432,13,11.5,13.6,2
2,44,E_tereticornis,432,14,5.2,4.6,
2,44,E_tereticornis,432,15,11,13.6,
2,44,E_tereticornis,432,16,8.5,10.6,
2,44,E_tereticornis,432,17,8.8,10.4,
2,44,E_tereticornis,432,18,9.9,11,
2,44,E_tereticornis,432,19,10.9,11.6,
2,44,E_tereticornis,432,20,8.8,11.8,
2,44,E_tereticornis,432,21,10.9,11.6,2
2,44,E_tereticornis,432,22,10.9,12,
2,44,E_tereticornis,432,23,10.8,11,
2,44,E_tereticornis,432,24,12.9,13.6,13
2,44,E_tereticornis,432,25,11.5,13,2
2,44,E_tereticornis,432,26,13.5,14.6,2
2,44,E_tereticornis,432,27,12.3,15,
2,44,E_tereticornis,432,28,11,12.9,
2,44,E_tereticornis,432,29,7.8,10.4,
2,44,E_tereticornis,432,30,9.6,11,
2,44,E_tereticornis,432,31,9.8,11,
2,44,E_tereticornis,432,32,9.7,10.8,
2,44,E_tereticornis,432,33,12.7,11.6,
2,44,E_tereticornis,432,34,10.1,11.4,
2,44,E_tereticornis,432,35,12.2,11,
2,44,E_tereticornis,432,36,9.5,11,
2,44,E_tereticornis,432,37,10,11,
2,44,E_tereticornis,432,38,9,10.8,
2,44,E_tereticornis,432,39,14.5,15.6,2
2,44,E_tereticornis,432,40,9.7,11,
2,44,E_tereticornis,432,41,9.3,10.4,
2,44,E_tereticornis,432,42,12.5,13.6,2
2,44,E_tereticornis,432,43,10.2,11,
2,44,E_tereticornis,432,44,6.3,10.4,
2,44,E_tereticornis,432,45,5.9,7.6,
2,44,E_tereticornis,432,46,10.7,11,
2,44,E_tereticornis,432,47,4.9,5.1,8
2,44,E_tereticornis,432,48,11.9,11,
2,44,E_tereticornis,432,49,10.8,11.2,2
2,44,E_tereticornis,432,50,,,5
2,44,E_tereticornis,432,51,10.9,12.6,
2,44,E_tereticornis,432,52,10.9,13,
2,44,E_tereticornis,432,53,2.9,3.9,
2,44,E_tereticornis,432,54,11,12.6,
2,44,E_tereticornis,432,55,11.9,13.6,
2,44,E_tereticornis,432,56,12.4,13.8,
2,44,E_tereticornis,432,57,5.2,7.6,
2,44,E_tereticornis,432,58,10.2,10.8,
2,44,E_tereticornis,432,59,13.5,11.6,
2,44,E_tereticornis,432,60,8.8,10.4,
2,44,E_tereticornis,432,61,,,5
2,44,E_tereticornis,432,62,12.9,12.6,2
2,44,E_tereticornis,432,63,10.9,11.6,
2,44,E_tereticornis,432,64,12.2,11.6,
2,44,E_tereticornis,432,65,7.9,12,
2,44,E_tereticornis,432,66,12,12.6,
2,44,E_tereticornis,432,67,10.9,11.6,
2,44,E_tereticornis,432,68,10,11.6,
2,44,E_tereticornis,432,69,13,13.6,
2,44,E_tereticornis,432,70,4.8,3.6,
2,44,E_tereticornis,432,71,12.7,11,
2,44,E_tereticornis,432,72,11.9,12,
2,44,E_urophylla_grandis,432,1,12.5,11,
2,44,E_urophylla_grandis,432,2,13.3,11.1,
2,44,E_urophylla_grandis,432,3,10.4,10.9,
2,44,E_urophylla_grandis,432,4,9.3,10.9,
2,44,E_urophylla_grandis,432,5,11,11,
2,44,E_urophylla_grandis,432,6,10.3,11,
2,44,E_urophylla_grandis,432,7,11.3,11.6,
2,44,E_urophylla_grandis,432,8,9.5,11.2,
2,44,E_urophylla_grandis,432,9,11.1,11.1,
2,44,E_urophylla_grandis,432,10,11,11.3,
2,44,E_urophylla_grandis,432,11,9,11.1,
2,44,E_urophylla_grandis,432,12,12.2,11.1,
2,44,E_urophylla_grandis,432,13,10.3,11.3,
2,44,E_urophylla_grandis,432,14,11.6,11.1,
2,44,E_urophylla_grandis,432,15,9.6,11.1,
2,44,E_urophylla_grandis,432,16,11.6,11,
2,44,E_urophylla_grandis,432,17,10.3,10.8,
2,44,E_urophylla_grandis,432,18,10,10.7,
2,44,E_urophylla_grandis,432,19,8.6,11,
2,44,E_urophylla_grandis,432,20,10.4,11,
2,44,E_urophylla_grandis,432,21,8.9,11,
2,44,E_urophylla_grandis,432,22,9.9,11.2,
2,44,E_urophylla_grandis,432,23,11.4,11.4,
2,44,E_urophylla_grandis,432,24,11.5,11.5,
2,44,E_urophylla_grandis,432,25,9.6,11.7,
2,44,E_urophylla_grandis,432,26,10.9,11.5,
2,44,E_urophylla_grandis,432,27,10.6,11.5,
2,44,E_urophylla_grandis,432,28,9,11.1,
2,44,E_urophylla_grandis,432,29,9.5,11.3,
2,44,E_urophylla_grandis,432,30,11.1,11.2,
2,44,E_urophylla_grandis,432,31,12.5,11.1,
2,44,E_urophylla_grandis,432,32,11.1,11.1,
2,44,E_urophylla_grandis,432,33,6.2,10.8,
2,44,E_urophylla_grandis,432,34,10.6,11.2,
2,44,E_urophylla_grandis,432,35,9.5,10.8,
2,44,E_urophylla_grandis,432,36,10.4,10.9,
2,44,E_urophylla_grandis,432,37,8.8,10.8,
2,44,E_urophylla_grandis,432,38,10.2,10.9,
2,44,E_urophylla_grandis,432,39,10.3,11.2,
2,44,E_urophylla_grandis,432,40,10.7,11.2,
2,44,E_urophylla_grandis,432,41,10.7,11.1,
2,44,E_urophylla_grandis,432,42,9.8,11.2,
2,44,E_urophylla_grandis,432,43,12.4,11.1,
2,44,E_urophylla_grandis,432,44,11.3,11.3,
2,44,E_urophylla_grandis,432,45,10.1,11.2,
2,44,E_urophylla_grandis,432,46,10.1,11.1,
2,44,E_urophylla_grandis,432,47,11.8,11.3,
2,44,E_urophylla_grandis,432,48,11.2,11.4,
2,44,E_urophylla_grandis,432,49,12.3,11.4,
2,44,E_urophylla_grandis,432,50,8.9,11,
2,44,E_urophylla_grandis,432,51,10.3,11,
2,44,E_urophylla_grandis,432,52,9.6,10.9,
2,44,E_urophylla_grandis,432,53,10.6,10.8,
2,44,E_urophylla_grandis,432,54,10.1,10.7,
2,44,E_urophylla_grandis,432,55,10.9,10.8,
2,44,E_urophylla_grandis,432,56,10.8,11,
2,44,E_urophylla_grandis,432,57,11.3,11,
2,44,E_urophylla_grandis,432,58,11.6,11.1,
2,44,E_urophylla_grandis,432,59,12.6,11.2,
2,44,E_urophylla_grandis,432,60,11.4,11.1,
2,44,E_urophylla_grandis,432,61,11,11.4,
2,44,E_urophylla_grandis,432,62,10.3,11.2,
2,44,E_urophylla_grandis,432,63,11,11.1,
2,44,E_urophylla_grandis,432,64,11.5,11.4,
2,44,E_urophylla_grandis,432,65,10.3,11.3,
2,44,E_urophylla_grandis,432,66,10.6,11.4,
2,44,E_urophylla_grandis,432,67,10,11.3,
2,44,E_urophylla_grandis,432,68,11.6,11.4,
2,44,E_urophylla_grandis,432,69,12.6,11.1,
2,44,E_urophylla_grandis,432,70,9.2,11,
2,44,E_urophylla_grandis,432,71,11.5,11.1,
2,44,E_urophylla_grandis,432,72,13,11.2,
2,44,E_urophylla,432,1,11.8,10.6,
