N_tume,I_meses,Esp,Parc_m2,N_arv,DAP_cm,H_m,Cod,Cod2
39,66,E_camaldulensis,540,1,16.4,20.4,,
39,66,E_camaldulensis,540,2,11.5,15.3,,
39,66,E_camaldulensis,540,3,9.5,11.2,,
39,66,E_camaldulensis,540,4,8.3,10.3,,
39,66,E_camaldulensis,540,5,15.3,14.5,,
39,66,E_camaldulensis,540,6,15.2,17.8,,
39,66,E_camaldulensis,540,7,,,1,
39,66,E_camaldulensis,540,8,12.4,14,,
39,66,E_camaldulensis,540,9,11.8,16.1,,
39,66,E_camaldulensis,540,10,14.3,15.7,,
39,66,E_camaldulensis,540,11,12.5,15.6,,
39,66,E_camaldulensis,540,12,10.9,15.2,,
39,66,E_camaldulensis,540,13,18.5,18.2,6,
39,66,E_camaldulensis,540,14,8.5,6.9,2,
39,66,E_camaldulensis,540,15,9.1,11.3,,
39,66,E_camaldulensis,540,16,,,1,
39,66,E_camaldulensis,540,17,17,14.1,6,10
39,66,E_camaldulensis,540,18,5.6,8.2,7,
39,66,E_camaldulensis,540,19,14.8,14,,
39,66,E_camaldulensis,540,20,8.2,10.6,,
39,66,E_camaldulensis,540,21,11.3,,,
39,66,E_camaldulensis,540,22,,,5,
39,66,E_camaldulensis,540,23,,,1,
39,66,E_camaldulensis,540,24,12.4,,,
39,66,E_camaldulensis,540,25,6.4,,,
39,66,E_camaldulensis,540,26,14.9,,,
39,66,E_camaldulensis,540,27,14.1,,,
39,66,E_camaldulensis,540,28,11.2,,,
39,66,E_camaldulensis,540,29,,,7,
39,66,E_camaldulensis,540,30,6,,7,
39,66,E_camaldulensis,540,31,9,,,
39,66,E_camaldulensis,540,32,11,,,
39,66,E_camaldulensis,540,33,10.7,,,
39,66,E_camaldulensis,540,34,12.3,,,
39,66,E_camaldulensis,540,35,,,7,
39,66,E_camaldulensis,540,36,,,7,
39,66,E_camaldulensis,540,37,16.6,,,
39,66,E_camaldulensis,540,38,19.1,24.4,6,
39,66,E_camaldulensis,540,39,11.7,,,
39,66,E_camaldulensis,540,40,9.9,,,
39,66,E_camaldulensis,540,41,9.3,,,
39,66,E_camaldulensis,540,42,13.3,,,
39,66,E_camaldulensis,540,43,8.3,,,
39,66,E_camaldulensis,540,44,10.1,,,
39,66,E_camaldulensis,540,45,9.9,,8,
39,66,E_camaldulensis,540,46,14.3,,,
39,66,E_camaldulensis,540,47,9.6,,,
39,66,E_camaldulensis,540,48,10.1,,,
39,66,E_camaldulensis,540,49,,,4,2
39,66,E_camaldulensis,540,50,11.5,,,
39,66,E_camaldulensis,540,51,,,7,
39,66,E_camaldulensis,540,52,12.3,,,
39,66,E_camaldulensis,540,53,14.8,,,
39,66,E_camaldulensis,540,54,12.5,,,
39,66,E_camaldulensis,540,55,10.5,,,
39,66,E_camaldulensis,540,56,9.5,,,
39,66,E_camaldulensis,540,57,6,,7,
39,66,E_camaldulensis,540,58,11.6,,,
39,66,E_camaldulensis,540,59,13.4,,,
39,66,E_camaldulensis,540,60,9.4,,,
