"","Especie","Idade","DAPmed","DAPsd","Hmed","Hsd","Hdom","G","V","N","Sobre","IMA"
"1","E_amaldulensis",44,11.0070422535211,2.6995938289021,10.5521126760563,1.58986604601318,12.5,5.2732349537037,90.12681998804,1666.66666666667,98.6111111111111,24.58004181492
"2","E_citriodora",44,10.0855072463768,2.12660149771737,10.4507246376812,1.83604619866951,14.6,4.23960069444444,72.0630676553395,1666.66666666667,95.8333333333333,19.6535639060017
"3","E_grandis",44,10.8779411764706,2.45441092961499,11.9264705882353,1.41901980538584,15,4.89006365740741,94.7293050400112,1666.66666666667,94.4444444444444,25.8352650109121
"4","E_paniculata",44,8.87246376811594,2.22405856209735,9.82173913043478,2.01734169618872,11.2,3.33800925925926,54.4076541906818,1666.66666666667,95.8333333333333,14.8384511429132
"5","E_pellita",44,10.7059701492537,2.32821173390293,11.510447761194,1.85359064556354,16.6,4.65112847222222,88.1388327014024,1666.66666666667,93.0555555555556,24.0378634640188
"6","E_propinqua",44,9.61967213114754,3.00986265866795,10.1081967213115,2.08112910715692,12,3.58123842592593,60.7786850098015,1666.66666666667,84.7222222222222,16.5760050026731
"7","E_saligna",44,11.2403225806452,2.49395726608447,12.6693548387097,12.0693703736478,106,4.75277199074074,88.5648739349937,1666.66666666667,86.1111111111111,24.1540565277256
"8","E_tereticornis",44,10.2101449275362,2.31314306973003,11.3463768115942,2.24273859050419,15.6,4.37320023148148,82.6033009944945,1666.66666666667,95.8333333333333,22.5281729984985
"9","E_urophylla",44,11.7117647058824,1.85966851578083,11.8661764705882,1.20603090157653,15.6,5.53180555555555,104.91204858805,1666.66666666667,94.4444444444444,28.6123768876499
"10","E_urophylla_grandis",44,10.6444444444444,1.1910332700606,11.1291666666667,0.213249506711448,11.7,4.77929398148148,83.6485214148979,1666.66666666667,100,22.813233113154
