"","Especie","Idade","DAPmed","DAPsd","Hmed","Hsd","Hdom","G","V","N","Sobre","IMA"
"1","E_amaldulensis",24,6.0625,1.61187822382794,7.15972222222222,1.29143001012386,9,1.63816550925926,19.5966613793423,1666.66666666667,100,9.79833068967116
"2","E_citriodora",24,5.99305555555556,1.63692655921101,7.03472222222222,1.71843031242298,9,1.60662615740741,19.0549957189089,1666.66666666667,100,9.52749785945446
"3","E_grandis",24,7.06944444444444,2.03716448124119,7.55555555555556,1.64135712388795,10,2.25289351851852,29.0440513532072,1666.66666666667,100,14.5220256766036
"4","E_paniculata",24,4.61267605633803,1.25412799272355,5.47887323943662,1.22017744528734,8,0.937934027777778,8.81073113278908,1666.66666666667,98.6111111111111,4.40536556639454
"5","E_pellita",24,7.06944444444444,1.9881790726791,7.48611111111111,1.57214355825482,10,2.24479166666667,28.3442152293118,1666.66666666667,100,14.1721076146559
"6","E_propinqua",24,4.53472222222222,2.25227019882458,5.61805555555556,2.42564505077785,9.5,1.06524884259259,11.8500584005198,1666.66666666667,100,5.92502920025992
"7","E_saligna",24,6.23611111111111,2.22655582923938,6.77083333333333,1.87071105709966,9.5,1.82407407407407,21.5995857754949,1666.66666666667,100,10.7997928877475
"8","E_tereticornis",24,6.92361111111111,1.74755306236758,7.27935805654287,1.40180724108691,10,2.12282986111111,25.4804917254606,1666.66666666667,100,12.7402458627303
"9","E_urophylla",24,7.61805555555556,2.14031236294019,8.14583333333333,1.95447752465108,10.5,2.60633680555556,35.8723111670155,1666.66666666667,100,17.9361555835077
"10","E_urophylla_grandis",24,6.63888888888889,0.946536392543898,8.28472222222222,0.790909571267002,10,1.87326388888889,24.7660630063104,1666.66666666667,100,12.3830315031552
